"espacio_cultural_id,provincia_id,localidad_id,observaciones,provincia,localidad,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,latitud,longitud,fuente,juridisccion,anio_de_creacion,descripcion_de_patrimonio,anio_de_inauguracion,"
"300052,6,6490010,Codigo en Lomas de Zamora,Buenos Aires,Banfield,Museo De Artes Plasticas Pio Collivadino,Medrano 165,B1828IPC,11,42025223,,,-34.7482,-58.3946,DNPyM,Nacional,1892,Obras de Pio Collivadino de 1896 a 1945: oleos dibujos acuarelas grabados escenografias.,1992,"
"300042,6,6035010,,Buenos Aires,Avellaneda,Museo Municipal De Artes Plasticas De Avellaneda,Sarmiento 101 1 _ Piso,B1870CBC,11,42059567,,,-34.66211,-58.36327,DNPyM,Municipal,1909,Pinturas dibujos grabados esculturas fotografias vinculadas en su mayoria al riachuelo y a la ciudad de Avellaneda,1956,"
"300645,6,6658010,,Buenos Aires,Quilmes,Museo De Artes Visuales Victor E. Roverano,Rivadavia 498,B1878KJJ,11,42245336,,,-34.7192,-58.2517,DNPyM,Municipal,1969,Pinturas esculturas grabados dibujos principalmente de artistas argentinos desde fines del siglo XIX hasta nuestros dias.,1975,"
"300067,6,6658010,Codigo en Quilmes,Buenos Aires,Bernal,Museo Municipal Historico Regional Almirante Brown,25 de Mayo 198,B1876AWD,11,42525508,,,-34.7123,-58.2849,DNPyM,Municipal,,Las colecciones tienen su origen en donaciones de los vecinos de la zona y estas constan de pinturas esculturas y grabados de artistas locales. Objetos historicos del siglo XIX relacionados con las invasiones inglesas el combate de Quilmes etc.,,"
"300646,6,6658010,,Buenos Aires,Quilmes,Museo Municipal Historico Fotografico De Quilmes Geronima Irma Giles Y Gaetano De Mayol,25 de Mayo 218 Este / Lavalle y Brown,B1878JZF,11,42539162,,,-34.712406,-58.285194,DNPyM,Municipal,,Fotografias relacionadas con la historia de la fotografia y con la vida y desarrollo de la ciudad de Quilmes desde fines del siglo pasado hasta la fecha. Maquinas fotograficas y accesorios de principio de siglo.,1990,"
"300644,6,6658010,,Buenos Aires,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,Laprida y Ricardo Rojas,B1879BTQ,11,42805488,,,-34.749,-58.2732,DNPyM,Municipal,1909,Posee una coleccion de carruajes con modelos datan de los a–os 1860 a 1900 aproximadamente. Todos los elementos necesarios para atender al personal los carruajes y los caballos.,1967,"
"300568,6,6260010,Codigo en Esteban Echeverria,Buenos Aires,Monte Grande,Museo Historico Municipal La Campana,Dean Gregorio Funes 1221 B¡ la Morita,1842,11,42900437,,,-34.813,-58.4584,DNPyM,Municipal,1974,Elementos relacionados con Esteban Echeverria documentos muebles fotografias. Ciencias naturales arqueologia paleontologia de la zona.,1984,"
"300070,6,6028010,Codigo en Almirante Brown,Buenos Aires,Burzaco,Museo Claudio Leon Sempere,Colon 581,B1852BSE,11,42997279,,,-34.7918,-58.3503,DNPyM,Privada,1985,Esculturas de diferentes artistas nacionales y extranjeros contemporaneos.,1986,"
"300786,6,6756010,,Buenos Aires,San Isidro,Museo Historico Municipal Brig. Gral. Juan M. Pueyrredon,Rivera Indarte 48,B1642IFB,11,45123131,,,-34.4705,-58.5033,DNPyM,Municipal,1941,Mobiliario plateria porcelana imagineria correspondientes al siglo XIX. Efectos personales del General Juan Martin de Pueyrredon y de su familia. Historia de San Isidro desde 1580 hasta 1944. Retratos por Prilidiano Pueyrredon.,1948,"
"300915,6,6805010,,Buenos Aires,Tigre,Museo De La Reconquista,Avda. Liniers y Padre Casta–eda,B1648DAP,11,45124496,cultura@tigre.gov.ar,,-34.4162,-58.5883,DNPyM,Municipal,1948,Documentos de los siglos XIX y XX armas mobiliario medallistica objetos de arte de la epoca colonial vinculados con la reconquista y defensa de la ciudad de Buenos Aires y con la historia de Tigre. Replicas de uniformes militares (1806-1826) objetos,1971,"
